"nom","sexe","date_naissance","num_deptmt","parti_ratt_financier","nb_mandats","semaines_presence","commission_presences","commission_interventions","hemicycle_interventions","hemicycle_interventions_courtes","amendements_signes","amendements_adoptes","rapports","propositions_ecrites","propositions_signees","questions_ecrites","questions_orales","semaines_presence_S","commission_presences_S","commission_interventions_S","hemicycle_interventions_S","hemicycle_interventions_courtes_S","amendements_signes_S","amendements_adoptes_S","rapports_S","propositions_ecrites_S","propositions_signees_S","questions_ecrites_S","questions_orales_S","score"
"Denis Baupin","H","1962-06-02",75,"Europe Écologie Les Verts",2,39,69,475,1256,5505,2152,377,2,1,14,15,8,1.68103605568484,0.750850585750081,4.87367107884284,7.083118803357,8.25140690222502,3.2470731314454,2.55616126972764,0.619297228150391,0.141870953948648,-0.801586341119723,-0.16783332833351,2.20262892620894,100
"Valérie Rabault","F","1973-04-25",82,"Parti socialiste",2,30,71,657,756,578,603,413,15,0,26,19,2,0.391924655181495,0.826953722338271,7.00324060248289,4.06329059445355,0.684087905840578,0.0463026264040499,2.86097265633527,8.85775414088501,-0.380968156057908,-0.140669519575899,-0.135396117723164,-0.319903730318647,83.7211532485661
"Véronique Louwagie","F","1961-03-20",61,"Les Républicains",2,37,134,275,221,109,1656,43,0,0,49,997,10,1.39456685557299,3.22420252486625,2.5334847891285,0.832074410926855,-0.0362434538720873,2.22216533899833,-0.271811039354194,-0.648157681501089,-0.380968156057908,1.12608772171643,7.79550187650632,3.04347314505147,76.5975330471624
"Sandrine Mazetier","F","1966-12-16",75,"Parti socialiste",1,35,59,188,1158,5617,414,207,4,0,27,12,1,1.10809765546113,0.370334902809132,1.51550375310277,6.49123247441192,8.42342633141013,-0.344236834830821,1.11677416630276,1.88675213780187,-0.380968156057908,-0.0855931177805807,-0.192161236291269,-0.740325839739912,72.5387542740028
"Jean-Jacques Candelier","H","1945-03-07",59,"Parti communiste Français",2,32,62,62,110,35,903,27,0,10,20,1336,9,0.67839385529335,0.484489607691417,0.0411863905827334,0.161672548550288,-0.149899148155109,0.666206533126068,-0.40728276673536,-0.648157681501089,4.84742294400766,-0.471127930347811,10.5445554757331,2.62305103563021,70.5933036145628
"Marc Le Fur","H","1956-11-28",22,"Les Républicains",2,33,20,14,1104,4740,1396,26,1,2,59,163,5,0.821628455349278,-1.11367626066057,-0.520458318948708,6.16509102785035,7.07645276538027,1.68491528650592,-0.415749749696683,-0.0144302266753489,0.664710063955205,1.67685173966962,1.03234346424928,0.941362597945147,69.6880629470063
"Pierre Morel-A-L'Huissier","H","1958-12-21",48,"Les Républicains",3,31,48,31,43,98,1447,51,1,8,97,1121,3,0.535159255237422,-0.0482323484259115,-0.321542484322989,-0.242984431442774,-0.0531382192384824,1.79029895064866,-0.204075175663611,-0.0144302266753489,3.80174472399454,3.76975500789173,8.80105540542703,0.100518379102617,69.4811396443499
"David Habib","H","1961-03-16",64,"Parti socialiste",3,29,15,0,1628,7785,57,29,0,0,27,9,2,0.248690055125567,-1.30393410213104,-0.684271359228712,9.32987099078117,11.7532309963506,-1.08192248383002,-0.390348800812714,-0.648157681501089,-0.380968156057908,-0.0855931177805807,-0.216489144249028,-0.319903730318647,65.353188384044
"Olivier Dussopt","H","1978-08-16",7,"Parti socialiste",2,32,53,475,969,438,687,529,3,0,25,13,3,0.67839385529335,0.142025493044563,4.87367107884284,5.34973741144642,0.469063619359185,0.219875720286215,3.84314267984872,1.25302468297613,-0.380968156057908,-0.195745921371218,-0.184051933638683,0.100518379102617,65.2276469398774
"Christophe Sirugue","H","1966-08-14",71,"Parti socialiste",3,33,69,337,605,350,765,559,7,0,25,19,3,0.821628455349278,0.750850585750081,3.25894253893995,3.15130247536471,0.333905496428024,0.381050736033939,4.09715216868841,3.78793450227909,-0.380968156057908,-0.195745921371218,-0.135396117723164,0.100518379102617,64.7463276567651
